"Time (s)";"Recording (a.u.)"
1.137500000E-2;8.946831222E-4
1.139583333E-2;-1.200962812E-3
1.141666667E-2;-9.903870523E-4
1.143750000E-2;1.306884806E-3
1.145833333E-2;2.021098509E-3
1.147916667E-2;3.781504929E-4
1.150000000E-2;-7.647064049E-4
1.152083333E-2;7.422344061E-5
1.154166667E-2;7.867104141E-4
1.156250000E-2;5.264056381E-4
1.158333333E-2;5.083248252E-4
1.160416667E-2;1.083354582E-3
1.162500000E-2;1.707132789E-3
1.164583333E-2;1.799581107E-3
1.166666667E-2;8.272681735E-4
1.168750000E-2;-5.599072902E-4
1.170833333E-2;5.115729800E-5
1.172916667E-2;1.888326486E-3
1.175000000E-2;1.237495570E-3
1.177083333E-2;-3.653944586E-4
1.179166667E-2;9.527778020E-4
1.181250000E-2;2.815134125E-3
1.183333333E-2;1.784233376E-3
1.185416667E-2;2.490704355E-4
1.187500000E-2;5.703622010E-4
1.189583333E-2;1.338414615E-3
1.191666667E-2;2.011557342E-3
1.193750000E-2;2.527036006E-3
1.195833333E-2;1.663790434E-3
1.197916667E-2;1.117842854E-3
1.200000000E-2;2.330339281E-3
1.202083333E-2;2.189543098E-3
1.204166667E-2;-6.246486009E-6
1.206250000E-2;-4.080346262E-4
1.208333333E-2;1.095160027E-3
1.210416667E-2;1.118830289E-3
1.212500000E-2;6.758701638E-4
1.214583333E-2;1.110706595E-3
1.216666667E-2;1.036983682E-3
1.218750000E-2;1.526453183E-3
1.220833333E-2;2.559003653E-3
1.222916667E-2;1.629234175E-3
1.225000000E-2;-9.619662887E-5
1.227083333E-2;5.524128792E-4
1.229166667E-2;1.882052748E-3
1.231250000E-2;1.126874005E-3
1.233333333E-2;9.046501946E-4
1.235416667E-2;1.993379323E-3
1.237500000E-2;1.470766263E-3
1.239583333E-2;2.512883511E-4
1.241666667E-2;5.881257239E-4
1.243750000E-2;1.585993450E-3
1.245833333E-2;1.735074678E-3
1.247916667E-2;9.597837343E-4
1.250000000E-2;-2.276847772E-5
1.252083333E-2;3.127249147E-5
1.254166667E-2;1.123742550E-3
1.256250000E-2;1.545383828E-3
1.258333333E-2;7.106481935E-4
1.260416667E-2;-4.745503247E-4
1.262500000E-2;-4.123966792E-4
1.264583333E-2;1.369930920E-3
1.266666667E-2;2.507838653E-3
1.268750000E-2;1.214473974E-3
