"Time (s)";"Recording (a.u.)"
1.262500000E-2;-2.395293413E-4
1.264583333E-2;-8.349167183E-5
1.266666667E-2;5.185636110E-5
1.268750000E-2;1.467965485E-4
1.270833333E-2;-2.375482145E-4
1.272916667E-2;-7.963101962E-5
1.275000000E-2;4.343609908E-4
1.277083333E-2;3.166088427E-4
1.279166667E-2;2.561595174E-4
1.281250000E-2;7.286231848E-4
1.283333333E-2;1.292899484E-3
1.285416667E-2;1.292186091E-3
1.287500000E-2;9.392337524E-4
1.289583333E-2;8.497842355E-4
1.291666667E-2;1.155531500E-3
1.293750000E-2;1.241441700E-3
1.295833333E-2;7.961638621E-4
1.297916667E-2;7.046082756E-4
1.300000000E-2;9.355524671E-4
1.302083333E-2;9.215795435E-4
1.304166667E-2;8.236270514E-4
1.306250000E-2;1.099199639E-3
1.308333333E-2;1.472386881E-3
1.310416667E-2;1.217423473E-3
1.312500000E-2;1.314182184E-3
1.314583333E-2;2.050620969E-3
1.316666667E-2;2.345756395E-3
1.318750000E-2;2.352161100E-3
1.320833333E-2;2.480308991E-3
1.322916667E-2;2.958990168E-3
1.325000000E-2;3.300895682E-3
1.327083333E-2;3.071452957E-3
1.329166667E-2;3.005647799E-3
1.331250000E-2;2.968488028E-3
1.333333333E-2;2.829503501E-3
1.335416667E-2;2.731846645E-3
1.337500000E-2;2.318346873E-3
1.339583333E-2;1.772057265E-3
1.341666667E-2;1.501655905E-3
1.343750000E-2;1.611386193E-3
1.345833333E-2;1.590173459E-3
1.347916667E-2;1.167726703E-3
1.350000000E-2;6.871570949E-4
1.352083333E-2;3.735354112E-4
1.354166667E-2;2.863807313E-4
1.356250000E-2;4.291667719E-4
1.358333333E-2;6.240393268E-4
1.360416667E-2;5.505911540E-4
1.362500000E-2;2.159690484E-4
1.364583333E-2;-3.783812572E-4
1.366666667E-2;-1.021383796E-3
1.368750000E-2;-1.375646098E-3
1.370833333E-2;-1.580622746E-3
1.372916667E-2;-1.862821169E-3
1.375000000E-2;-2.342681633E-3
1.377083333E-2;-2.771699801E-3
1.379166667E-2;-3.034000983E-3
1.381250000E-2;-3.284421982E-3
1.383333333E-2;-3.278450575E-3
1.385416667E-2;-2.992005087E-3
1.387500000E-2;-2.957332414E-3
1.389583333E-2;-2.957744757E-3
1.391666667E-2;-2.273492981E-3
1.393750000E-2;-1.857384341E-3
1.395833333E-2;-2.114937874E-3
1.397916667E-2;-2.015982056E-3
1.400000000E-2;-1.751344535E-3
1.402083333E-2;-1.465476467E-3
1.404166667E-2;-1.162276720E-3
1.406250000E-2;-1.249782159E-3
1.408333333E-2;-1.607799204E-3
1.410416667E-2;-2.053525066E-3
1.412500000E-2;-1.993450336E-3
1.414583333E-2;-1.587118837E-3
1.416666667E-2;-1.711810823E-3
1.418750000E-2;-1.987820724E-3
1.420833333E-2;-2.255667700E-3
1.422916667E-2;-2.386967884E-3
1.425000000E-2;-2.106737578E-3
1.427083333E-2;-1.994216815E-3
1.429166667E-2;-2.141968114E-3
1.431250000E-2;-2.025412628E-3
1.433333333E-2;-1.285288366E-3
1.435416667E-2;-1.059147296E-3
1.437500000E-2;-1.770036528E-3
1.439583333E-2;-1.787639922E-3
1.441666667E-2;-1.175272046E-3
1.443750000E-2;-7.589007146E-4
1.445833333E-2;-6.026074989E-4
1.447916667E-2;-7.937244372E-4
1.450000000E-2;-1.326555037E-3
1.452083333E-2;-1.569359913E-3
1.454166667E-2;-6.766995066E-4
1.456250000E-2;6.940287130E-5
1.458333333E-2;-5.106279277E-4
1.460416667E-2;-1.048735809E-3
1.462500000E-2;-1.532477909E-4
1.464583333E-2;1.373759937E-3
1.466666667E-2;1.719506225E-3
1.468750000E-2;1.072750427E-3
1.470833333E-2;1.039561932E-3
1.472916667E-2;1.551400288E-3
1.475000000E-2;1.166141592E-3
1.477083333E-2;3.108410747E-4
1.479166667E-2;5.084238364E-4
1.481250000E-2;1.321535441E-3
1.483333333E-2;1.237780205E-3
1.485416667E-2;4.736291594E-4
1.487500000E-2;3.019832075E-4
1.489583333E-2;2.993643575E-4
1.491666667E-2;-8.757384785E-5
1.493750000E-2;-1.692570077E-4
1.495833333E-2;4.803995253E-4
1.497916667E-2;1.150073134E-3
1.500000000E-2;9.793873178E-4
1.502083333E-2;5.829963484E-4
1.504166667E-2;7.704704185E-4
1.506250000E-2;1.500813873E-3
1.508333333E-2;1.965535805E-3
1.510416667E-2;1.459758379E-3
1.512500000E-2;1.134276856E-3
1.514583333E-2;1.996611012E-3
1.516666667E-2;2.463218523E-3
1.518750000E-2;1.206703833E-3
1.520833333E-2;-4.055238776E-7
1.522916667E-2;4.459987395E-4
1.525000000E-2;7.718967390E-4
1.527083333E-2;-2.411407913E-4
1.529166667E-2;-1.021955046E-3
1.531250000E-2;-8.900325629E-4
1.533333333E-2;-8.183146711E-4
1.535416667E-2;-1.276730793E-3
1.537500000E-2;-1.523909159E-3
1.539583333E-2;-1.215397613E-3
1.541666667E-2;-8.811845328E-4
1.543750000E-2;-9.586266824E-4
1.545833333E-2;-1.233929186E-3
1.547916667E-2;-8.013595943E-4
1.550000000E-2;-8.220848395E-5
1.552083333E-2;-2.433312184E-4
1.554166667E-2;-1.034352579E-3
1.556250000E-2;-1.200591098E-3
